timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-14 09:07:23,457,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,DOWN,0.11,725.8,0.11,0.12
2026-01-14 09:07:23,457,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.87,81,0.88,0.89
2026-01-14 09:07:23,456,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.85,1641.71,0.88,0.89
2026-01-14 09:07:23,456,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,DOWN,0.01,6259.6,0.11,0.12
2026-01-14 09:07:24,455,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.87,129,0.88,0.89
2026-01-14 09:07:25,455,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,DOWN,0.02,3684.4,0.11,0.12
2026-01-14 09:07:25,454,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,DOWN,0.04,229.65,0.11,0.12
2026-01-14 09:07:25,454,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.65,25.7,0.88,0.89
2026-01-14 09:07:26,453,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.85,1426.71,0.88,0.89
2026-01-14 09:07:26,453,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,DOWN,0.04,279.65,0.11,0.12
2026-01-14 09:07:27,452,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.89,2281.35,0.89,0.9
2026-01-14 09:07:27,452,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,DOWN,0.08,438.94,0.1,0.11
2026-01-14 09:07:28,451,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.87,585.94,0.89,0.9
2026-01-14 09:07:29,451,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,DOWN,0.1,7.5,0.1,0.11
2026-01-14 09:07:29,450,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.87,539.94,0.89,0.9
2026-01-14 09:07:29,450,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,DOWN,0.09,851.11,0.1,0.11
2026-01-14 09:07:30,449,"Bitcoin Up or Down - January 13, 8:00PM-8:15PM ET",price_change,UP,0.87,470.71,0.9,0.91
