timestamp,time_left,event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-15 10:03:35,684,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.41,125.61,0.41,0.42
2026-01-15 10:03:35,684,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.58,1836.47,0.58,0.59
2026-01-15 10:03:36,684,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1669.91,0.41,0.42
2026-01-15 10:03:36,684,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.43,1472.3,0.58,0.59
2026-01-15 10:03:37,683,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,3394.57,0.41,0.42
2026-01-15 10:03:37,683,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.57,1232.39,0.58,0.59
2026-01-15 10:03:38,682,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,3399.57,0.4,0.41
2026-01-15 10:03:38,682,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.58,2175.01,0.59,0.6
2026-01-15 10:03:39,681,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,3384.57,0.4,0.41
2026-01-15 10:03:39,681,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,197.32,0.59,0.6
2026-01-15 10:03:40,680,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1770.51,0.4,0.41
2026-01-15 10:03:40,680,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.58,2194.01,0.59,0.6
2026-01-15 10:03:41,679,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,112.98,0.59,0.6
2026-01-15 10:03:41,679,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,3389.57,0.4,0.41
2026-01-15 10:03:42,678,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1798.56,0.4,0.41
2026-01-15 10:03:42,678,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.56,1203.41,0.59,0.6
2026-01-15 10:03:43,677,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.61,390.65,0.61,0.62
2026-01-15 10:03:43,677,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,1150.41,0.38,0.39
2026-01-15 10:03:44,676,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.39,212.6,0.39,0.41
2026-01-15 10:03:44,676,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,901,0.59,0.61
2026-01-15 10:03:45,675,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,1633,0.59,0.6
2026-01-15 10:03:45,675,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.34,1560,0.4,0.41
2026-01-15 10:03:46,674,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.39,287.57,0.4,0.41
2026-01-15 10:03:46,674,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.57,1115.85,0.59,0.6
2026-01-15 10:03:47,673,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.39,170.57,0.4,0.41
2026-01-15 10:03:47,673,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.52,1407.72,0.59,0.6
2026-01-15 10:03:48,672,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.39,261.57,0.4,0.41
2026-01-15 10:03:48,672,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.57,1115.85,0.59,0.6
2026-01-15 10:03:49,671,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.39,227.42,0.4,0.41
2026-01-15 10:03:49,671,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.57,1110.85,0.59,0.6
2026-01-15 10:03:50,670,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.39,268.92,0.4,0.41
2026-01-15 10:03:50,670,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.53,1392,0.59,0.6
2026-01-15 10:03:51,669,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.39,232.42,0.4,0.41
2026-01-15 10:03:51,669,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.57,1110.85,0.59,0.6
2026-01-15 10:03:52,668,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,2988.35,0.59,0.6
2026-01-15 10:03:52,668,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.36,621,0.4,0.41
2026-01-15 10:03:53,667,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.62,366.07,0.63,0.65
2026-01-15 10:03:53,667,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.32,1482.5,0.35,0.37
2026-01-15 10:03:54,666,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.34,1097.55,0.34,0.35
2026-01-15 10:03:54,666,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.64,148.07,0.65,0.66
2026-01-15 10:03:55,665,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.34,339.5,0.34,0.35
2026-01-15 10:03:55,665,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.62,72,0.65,0.66
2026-01-15 10:03:56,664,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.34,384.38,0.34,0.35
2026-01-15 10:03:56,664,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.62,110,0.65,0.66
2026-01-15 10:03:57,663,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.34,1855.34,0.34,0.36
2026-01-15 10:03:57,663,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.64,39.07,0.64,0.65
2026-01-15 10:03:58,662,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.35,100.37,0.35,0.36
2026-01-15 10:03:58,662,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.58,1357.43,0.64,0.65
2026-01-15 10:03:59,661,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.35,109.07,0.35,0.36
2026-01-15 10:03:59,661,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.62,919,0.64,0.65
2026-01-15 10:04:00,660,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.63,971.28,0.63,0.65
2026-01-15 10:04:00,660,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.34,1709.91,0.35,0.37
2026-01-15 10:04:01,659,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.64,756.5,0.64,0.65
2026-01-15 10:04:01,659,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.13,6687.5,0.35,0.36
2026-01-15 10:04:02,658,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.33,2293.26,0.36,0.37
2026-01-15 10:04:02,658,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.61,1664,0.63,0.64
2026-01-15 10:04:03,657,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.36,971.05,0.36,0.37
2026-01-15 10:04:03,657,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.62,141.07,0.63,0.64
2026-01-15 10:04:04,656,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.16,774.69,0.36,0.37
2026-01-15 10:04:04,656,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,896.91,0.63,0.64
2026-01-15 10:04:05,655,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.39,137.5,0.39,0.4
2026-01-15 10:04:05,655,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.55,2886.8,0.6,0.61
2026-01-15 10:04:05,654,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.16,764.69,0.41,0.42
2026-01-15 10:04:05,654,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.54,1409,0.58,0.59
2026-01-15 10:04:06,654,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.09,5033.34,0.58,0.59
2026-01-15 10:04:06,654,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.09,5033.34,0.41,0.42
2026-01-15 10:04:07,653,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.56,325.45,0.56,0.57
2026-01-15 10:04:07,653,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.1,5184.7,0.43,0.44
2026-01-15 10:04:08,652,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.53,887.5,0.56,0.57
2026-01-15 10:04:08,652,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.43,1448.4,0.43,0.44
2026-01-15 10:04:09,651,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.43,1173.2,0.43,0.44
2026-01-15 10:04:09,651,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.55,2652.19,0.56,0.57
2026-01-15 10:04:10,650,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.54,1106,0.56,0.57
2026-01-15 10:04:10,650,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.41,2206,0.43,0.44
2026-01-15 10:04:11,649,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.43,959.33,0.44,0.45
2026-01-15 10:04:11,649,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.15,117.57,0.55,0.56
2026-01-15 10:04:12,648,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.42,893,0.44,0.45
2026-01-15 10:04:12,648,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.49,1527.57,0.55,0.56
2026-01-15 10:04:13,647,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.42,893,0.44,0.45
2026-01-15 10:04:13,647,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.55,3520.3,0.55,0.56
2026-01-15 10:04:14,646,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,1521.54,0.44,0.45
2026-01-15 10:04:14,646,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.5,1567,0.55,0.56
2026-01-15 10:04:15,645,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.55,1507.98,0.55,0.56
2026-01-15 10:04:15,645,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,1736.07,0.44,0.45
2026-01-15 10:04:16,644,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,2377.65,0.44,0.45
2026-01-15 10:04:16,644,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.52,922.54,0.55,0.56
2026-01-15 10:04:17,643,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,2219.23,0.44,0.45
2026-01-15 10:04:17,643,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.54,123.97,0.55,0.56
2026-01-15 10:04:18,642,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.43,1745.5,0.44,0.45
2026-01-15 10:04:18,642,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.52,940.01,0.55,0.56
2026-01-15 10:04:19,641,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,2326.24,0.44,0.45
2026-01-15 10:04:19,641,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.54,122.47,0.55,0.56
2026-01-15 10:04:20,640,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,2398.24,0.44,0.45
2026-01-15 10:04:20,640,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.49,1706.37,0.55,0.56
2026-01-15 10:04:21,639,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,2403.52,0.44,0.45
2026-01-15 10:04:21,639,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.52,887.09,0.55,0.56
2026-01-15 10:04:22,638,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.49,1688.37,0.55,0.56
2026-01-15 10:04:22,638,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.31,1463.1,0.44,0.45
2026-01-15 10:04:23,637,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.55,801.77,0.55,0.56
2026-01-15 10:04:23,637,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.26,1478.8,0.44,0.45
2026-01-15 10:04:24,636,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.52,1464.51,0.55,0.56
2026-01-15 10:04:24,636,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,2048.66,0.44,0.45
2026-01-15 10:04:25,635,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.44,2151.22,0.44,0.45
2026-01-15 10:04:25,635,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.53,1712.58,0.55,0.56
2026-01-15 10:04:26,634,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.34,1482.8,0.44,0.45
2026-01-15 10:04:26,634,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.52,1439.55,0.55,0.56
2026-01-15 10:04:27,633,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.41,21,0.41,0.42
2026-01-15 10:04:27,633,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.55,3381.7,0.58,0.6
2026-01-15 10:04:28,632,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.25,1553.76,0.39,0.4
2026-01-15 10:04:28,632,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,616.9,0.6,0.61
2026-01-15 10:04:29,631,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.36,1466.5,0.39,0.4
2026-01-15 10:04:29,631,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,1712.77,0.6,0.61
2026-01-15 10:04:30,630,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.54,1394.01,0.61,0.62
2026-01-15 10:04:30,630,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.31,1494.23,0.38,0.39
2026-01-15 10:04:31,629,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,1514.49,0.61,0.62
2026-01-15 10:04:31,629,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.33,1797.9,0.38,0.39
2026-01-15 10:04:32,628,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,968,0.61,0.62
2026-01-15 10:04:32,628,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.35,1742.7,0.38,0.39
2026-01-15 10:04:33,627,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.35,1762.7,0.38,0.39
2026-01-15 10:04:33,627,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.54,1405.01,0.61,0.62
2026-01-15 10:04:34,626,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.35,1041.7,0.37,0.38
2026-01-15 10:04:34,626,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.61,1032.31,0.62,0.63
2026-01-15 10:04:35,625,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,969.5,0.37,0.38
2026-01-15 10:04:35,625,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.62,1021.5,0.62,0.63
2026-01-15 10:04:36,624,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,75,0.37,0.38
2026-01-15 10:04:36,624,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,2250.42,0.62,0.63
2026-01-15 10:04:37,623,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,866.57,0.37,0.38
2026-01-15 10:04:37,623,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.61,1362.23,0.62,0.63
2026-01-15 10:04:38,622,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,865.5,0.37,0.38
2026-01-15 10:04:38,622,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.61,1268.23,0.62,0.63
2026-01-15 10:04:39,621,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,905,0.37,0.38
2026-01-15 10:04:39,621,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,1249,0.62,0.63
2026-01-15 10:04:40,620,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,845,0.37,0.38
2026-01-15 10:04:40,620,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.56,2386,0.62,0.63
2026-01-15 10:04:41,619,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,785.23,0.37,0.38
2026-01-15 10:04:41,619,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,2234,0.62,0.63
2026-01-15 10:04:42,618,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1505.23,0.37,0.38
2026-01-15 10:04:42,618,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.49,1387.57,0.62,0.63
2026-01-15 10:04:43,617,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,744.94,0.37,0.38
2026-01-15 10:04:43,617,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.61,1285.81,0.62,0.63
2026-01-15 10:04:44,616,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1561.59,0.37,0.38
2026-01-15 10:04:44,616,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,1201,0.62,0.63
2026-01-15 10:04:45,615,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1554.66,0.37,0.38
2026-01-15 10:04:45,615,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.55,2768.69,0.62,0.63
2026-01-15 10:04:46,614,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1576.16,0.37,0.38
2026-01-15 10:04:46,614,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,1166,0.62,0.63
2026-01-15 10:04:47,613,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1571.16,0.37,0.38
2026-01-15 10:04:47,613,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,1166,0.62,0.63
2026-01-15 10:04:48,612,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,1536.16,0.37,0.38
2026-01-15 10:04:48,612,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,2282,0.62,0.63
2026-01-15 10:04:49,611,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.37,2126.16,0.37,0.38
2026-01-15 10:04:49,611,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,2276,0.62,0.63
2026-01-15 10:04:50,610,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,1180,0.61,0.62
2026-01-15 10:04:50,610,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,101.81,0.38,0.39
2026-01-15 10:04:51,609,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,1019.81,0.38,0.39
2026-01-15 10:04:51,609,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.59,1180,0.61,0.62
2026-01-15 10:04:52,608,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,1093.31,0.38,0.39
2026-01-15 10:04:52,608,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.6,1127.49,0.61,0.62
2026-01-15 10:04:53,607,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,DOWN,0.38,1165.31,0.38,0.39
2026-01-15 10:04:53,607,"Bitcoin Up or Down - January 14, 9:00PM-9:15PM ET",price_change,UP,0.56,2677,0.61,0.62
