timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-13 15:58:16,103,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.89,474.29,0.89,0.9
2026-01-13 15:58:16,103,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.06,2582.3,0.1,0.11
2026-01-13 15:58:16,102,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.54,765.2,0.89,0.9
2026-01-13 15:58:16,102,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.05,3638.9,0.1,0.11
2026-01-13 15:58:17,101,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.58,1026.3,0.89,0.9
2026-01-13 15:58:17,101,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.1,1039.57,0.1,0.11
2026-01-13 15:58:18,100,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.1,934.2,0.1,0.11
2026-01-13 15:58:19,100,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.83,1033,0.89,0.9
2026-01-13 15:58:19,99,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.06,2543.3,0.1,0.11
2026-01-13 15:58:19,99,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.87,1136.18,0.89,0.9
2026-01-13 15:58:20,98,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.09,1329.01,0.1,0.11
2026-01-13 15:58:20,98,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.79,775,0.89,0.9
2026-01-13 15:58:21,97,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.1,546.67,0.1,0.11
2026-01-13 15:58:22,97,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.83,1033,0.89,0.9
2026-01-13 15:58:22,96,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.1,528.38,0.1,0.11
2026-01-13 15:58:22,96,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.89,296.31,0.89,0.9
2026-01-13 15:58:23,95,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.67,765.9,0.89,0.9
2026-01-13 15:58:24,95,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.06,2709.96,0.1,0.11
2026-01-13 15:58:24,94,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.89,360.11,0.89,0.9
2026-01-13 15:58:24,94,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.1,487.14,0.1,0.11
2026-01-13 15:58:25,93,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.85,371,0.88,0.9
2026-01-13 15:58:25,93,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.09,559.61,0.09,0.12
2026-01-13 15:58:26,92,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.78,2061.69,0.9,0.91
2026-01-13 15:58:26,92,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.09,521.01,0.09,0.1
2026-01-13 15:58:27,91,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.88,543.95,0.9,0.91
2026-01-13 15:58:27,91,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.05,2583.4,0.09,0.1
2026-01-13 15:58:28,90,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.9,925.66,0.9,0.91
2026-01-13 15:58:28,90,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.04,3256.39,0.09,0.1
2026-01-13 15:58:29,89,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.66,865.8,0.9,0.91
2026-01-13 15:58:29,89,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.06,2724.96,0.09,0.1
2026-01-13 15:58:30,88,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.9,870.58,0.91,0.92
2026-01-13 15:58:30,88,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.08,1029.2,0.08,0.09
2026-01-13 15:58:31,87,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,DOWN,0.08,294.67,0.08,0.09
2026-01-13 15:58:31,87,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.82,45.27,0.91,0.92
2026-01-13 15:58:32,86,"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",price_change,UP,0.79,800,0.91,0.93
