timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-14 18:34:45,615,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.36,2707.6,0.45,0.46
2026-01-14 18:34:45,615,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.51,1128,0.54,0.55
2026-01-14 18:34:45,614,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.54,293.02,0.54,0.55
2026-01-14 18:34:45,614,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.4,1342.4,0.45,0.46
2026-01-14 18:34:46,613,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.44,1780.92,0.45,0.46
2026-01-14 18:34:46,613,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.54,390.67,0.54,0.55
2026-01-14 18:34:47,612,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.45,894.85,0.45,0.46
2026-01-14 18:34:47,612,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.54,298.27,0.54,0.55
2026-01-14 18:34:48,611,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.45,737.44,0.45,0.46
2026-01-14 18:34:48,611,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.48,2467,0.54,0.55
2026-01-14 18:34:49,610,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.53,614.55,0.54,0.55
2026-01-14 18:34:49,610,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.42,1385.59,0.45,0.46
2026-01-14 18:34:50,609,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.54,1295.5,0.54,0.55
2026-01-14 18:34:50,609,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.45,92.48,0.45,0.46
2026-01-14 18:34:51,608,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.55,124,0.55,0.56
2026-01-14 18:34:51,608,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.43,99,0.44,0.45
2026-01-14 18:34:52,607,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.4,1770.5,0.42,0.43
2026-01-14 18:34:52,607,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.57,120.34,0.57,0.58
2026-01-14 18:34:53,606,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.57,175.5,0.57,0.58
2026-01-14 18:34:53,606,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.34,1437.43,0.42,0.43
2026-01-14 18:34:54,605,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.42,842.52,0.42,0.43
2026-01-14 18:34:54,605,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.55,403.51,0.57,0.58
2026-01-14 18:34:55,604,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.57,211.48,0.57,0.58
2026-01-14 18:34:55,604,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.38,1383.06,0.42,0.43
2026-01-14 18:34:56,603,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.41,99.5,0.42,0.43
2026-01-14 18:34:56,603,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.56,1332,0.57,0.58
2026-01-14 18:34:57,602,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.55,1316.33,0.58,0.59
2026-01-14 18:34:57,602,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.37,1419.87,0.41,0.42
2026-01-14 18:34:58,601,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.56,1119.64,0.58,0.59
2026-01-14 18:34:58,601,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.41,806.8,0.41,0.42
2026-01-14 18:34:59,600,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.41,1216.47,0.41,0.42
2026-01-14 18:34:59,600,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.57,1844,0.58,0.59
2026-01-14 18:35:00,599,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.41,361.65,0.41,0.42
2026-01-14 18:35:00,599,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.58,946,0.58,0.59
2026-01-14 18:35:01,598,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.56,1015.64,0.58,0.59
2026-01-14 18:35:01,598,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.38,1438.06,0.41,0.42
2026-01-14 18:35:02,597,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.37,2173.87,0.41,0.42
2026-01-14 18:35:02,597,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.54,2566,0.58,0.59
2026-01-14 18:35:03,596,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.37,1419.87,0.41,0.42
2026-01-14 18:35:03,596,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.54,2512,0.58,0.59
2026-01-14 18:35:04,595,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.41,327.36,0.41,0.42
2026-01-14 18:35:04,595,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.57,1101,0.58,0.59
2026-01-14 18:35:05,594,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.37,1574.85,0.4,0.41
2026-01-14 18:35:05,594,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.59,255.18,0.59,0.6
2026-01-14 18:35:06,593,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.6,606.5,0.6,0.62
2026-01-14 18:35:06,593,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.38,866.42,0.38,0.4
2026-01-14 18:35:07,592,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.39,62.19,0.39,0.4
2026-01-14 18:35:07,592,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.36,1434.95,0.6,0.61
2026-01-14 18:35:08,591,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.6,1660.36,0.6,0.61
2026-01-14 18:35:08,591,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.37,1241.87,0.39,0.4
2026-01-14 18:35:09,590,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.6,2822.45,0.6,0.61
2026-01-14 18:35:09,590,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.34,1489.67,0.39,0.4
2026-01-14 18:35:10,589,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.33,776.83,0.36,0.38
2026-01-14 18:35:10,589,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.62,101,0.62,0.63
2026-01-14 18:35:11,588,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.28,1323.4,0.34,0.35
2026-01-14 18:35:11,588,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.6,2428.02,0.65,0.66
2026-01-14 18:35:12,587,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.33,904.09,0.33,0.34
2026-01-14 18:35:12,587,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.63,458.38,0.66,0.67
2026-01-14 18:35:13,586,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.33,194.59,0.33,0.34
2026-01-14 18:35:13,586,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.64,526.97,0.66,0.67
2026-01-14 18:35:14,585,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.67,1222.2,0.67,0.68
2026-01-14 18:35:14,585,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.27,1227.6,0.32,0.33
2026-01-14 18:35:15,584,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.68,160.36,0.68,0.69
2026-01-14 18:35:15,584,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.29,1639.07,0.31,0.32
2026-01-14 18:35:16,583,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.6,2417.55,0.68,0.69
2026-01-14 18:35:16,583,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.29,1795,0.31,0.32
2026-01-14 18:35:17,582,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.27,1151.6,0.31,0.32
2026-01-14 18:35:17,582,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.68,1067.18,0.68,0.69
2026-01-14 18:35:18,581,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.68,1000.37,0.68,0.69
2026-01-14 18:35:18,581,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.31,142.59,0.31,0.32
2026-01-14 18:35:19,580,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.3,368.04,0.31,0.32
2026-01-14 18:35:19,580,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.67,2060.69,0.68,0.69
2026-01-14 18:35:20,579,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.64,1074.97,0.68,0.69
2026-01-14 18:35:20,579,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.29,234,0.31,0.32
2026-01-14 18:35:21,578,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.28,102.19,0.28,0.29
2026-01-14 18:35:21,578,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.69,332.5,0.71,0.72
2026-01-14 18:35:22,577,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.26,878,0.28,0.29
2026-01-14 18:35:22,577,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.69,609,0.71,0.72
2026-01-14 18:35:23,576,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.72,277,0.73,0.74
2026-01-14 18:35:23,576,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.23,784,0.26,0.27
2026-01-14 18:35:24,575,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.25,646.11,0.25,0.26
2026-01-14 18:35:24,575,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.74,1427.07,0.74,0.75
2026-01-14 18:35:25,574,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.67,1954.79,0.74,0.75
2026-01-14 18:35:25,574,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.25,521.47,0.25,0.26
2026-01-14 18:35:26,573,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,UP,0.25,94.24,0.25,0.26
2026-01-14 18:35:26,573,"Bitcoin Up or Down - January 14, 5:30AM-5:45AM ET",price_change,DOWN,0.71,2111,0.74,0.75
