event,outcome
"Bitcoin Up or Down - January 15, 4:30AM-4:45AM ET",
"Bitcoin Up or Down - January 15, 4:45AM-5:00AM ET",
"Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET",
"Bitcoin Up or Down - January 15, 5:15AM-5:30AM ET",
"Bitcoin Up or Down - January 15, 5:30AM-5:45AM ET",
"Bitcoin Up or Down - January 15, 5:45AM-6:00AM ET",
"Bitcoin Up or Down - January 15, 6:00AM-6:15AM ET",
"Bitcoin Up or Down - January 15, 6:15AM-6:30AM ET",
"Bitcoin Up or Down - January 15, 6:30AM-6:45AM ET",
"Bitcoin Up or Down - January 15, 6:45AM-7:00AM ET",
"Bitcoin Up or Down - January 15, 7:00AM-7:15AM ET",
"Bitcoin Up or Down - January 15, 7:15AM-7:30AM ET",
"Bitcoin Up or Down - January 15, 7:30AM-7:45AM ET",
"Bitcoin Up or Down - January 15, 7:45AM-8:00AM ET",
"Bitcoin Up or Down - January 15, 8:00AM-8:15AM ET",
"Bitcoin Up or Down - January 15, 8:15AM-8:30AM ET",
"Bitcoin Up or Down - January 15, 8:30AM-8:45AM ET",
"Bitcoin Up or Down - January 15, 8:45AM-9:00AM ET",
"Bitcoin Up or Down - January 15, 9:00AM-9:15AM ET",
"Bitcoin Up or Down - January 15, 9:15AM-9:30AM ET",
"Bitcoin Up or Down - January 15, 9:30AM-9:45AM ET"
