timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-13 17:00:42,857,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.52,346.54,0.53,0.54
2026-01-13 17:00:42,857,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.32,784.38,0.46,0.47
2026-01-13 17:00:43,856,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.53,103.43,0.53,0.54
2026-01-13 17:00:43,856,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.44,1051,0.46,0.47
2026-01-13 17:00:44,855,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.46,1138.98,0.46,0.47
2026-01-13 17:00:44,855,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.53,192.17,0.53,0.54
2026-01-13 17:00:44,854,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.53,206.04,0.53,0.54
2026-01-13 17:00:45,854,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.43,1112.92,0.46,0.47
2026-01-13 17:00:45,853,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.5,1066,0.52,0.53
2026-01-13 17:00:45,853,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.47,141.5,0.47,0.48
2026-01-13 17:00:46,852,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.37,1006,0.52,0.53
2026-01-13 17:00:47,852,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.41,1185.92,0.47,0.48
2026-01-13 17:00:47,851,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.51,2073.23,0.52,0.53
2026-01-13 17:00:47,851,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.47,2001.22,0.47,0.48
2026-01-13 17:00:48,850,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.47,829.09,0.47,0.48
2026-01-13 17:00:49,850,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.52,1785.58,0.52,0.53
2026-01-13 17:00:50,849,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,UP,0.41,1225.35,0.52,0.53
2026-01-13 17:00:50,849,"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",price_change,DOWN,0.47,608.32,0.47,0.48
