timestamp,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-13 10:21:26,price_change,DOWN,0.64,694.92,0.65,0.66
2026-01-13 10:21:26,price_change,UP,0.34,15,0.34,0.35
2026-01-13 10:21:27,price_change,UP,0.33,5580.35,0.33,0.34
2026-01-13 10:21:27,price_change,UP,0.3,639.79,0.33,0.34
2026-01-13 10:21:27,price_change,DOWN,0.63,1281.55,0.66,0.67
2026-01-13 10:21:28,price_change,DOWN,0.63,1203,0.66,0.67
2026-01-13 10:21:28,price_change,DOWN,0.66,496.91,0.66,0.67
2026-01-13 10:21:28,price_change,DOWN,0.45,988.3,0.66,0.67
2026-01-13 10:21:28,price_change,DOWN,0.56,763.3,0.66,0.67
2026-01-13 10:21:29,price_change,DOWN,0.64,917.42,0.66,0.67
2026-01-13 10:21:29,price_change,UP,0.24,1134.1,0.33,0.34
2026-01-13 10:21:29,price_change,DOWN,0.58,848.05,0.66,0.67
2026-01-13 10:21:29,price_change,UP,0.33,4833.57,0.33,0.34
2026-01-13 10:21:30,price_change,DOWN,0.64,877.92,0.66,0.67
2026-01-13 10:21:30,price_change,UP,0.29,829.3,0.33,0.34
2026-01-13 10:21:30,price_change,UP,0.29,787.92,0.33,0.34
2026-01-13 10:21:31,price_change,UP,0.27,647.92,0.33,0.34
2026-01-13 10:21:31,price_change,UP,0.29,793.42,0.33,0.34
2026-01-13 10:21:31,price_change,UP,0.29,755.92,0.33,0.34
2026-01-13 10:21:32,price_change,UP,0.31,153.72,0.33,0.34
2026-01-13 10:21:32,price_change,UP,0.24,1200.1,0.33,0.34
2026-01-13 10:21:32,price_change,UP,0.3,744.86,0.33,0.34
2026-01-13 10:21:33,price_change,UP,0.31,525.21,0.33,0.34
2026-01-13 10:21:33,price_change,DOWN,0.66,1890.74,0.66,0.67
2026-01-13 10:21:33,price_change,DOWN,0.57,980.35,0.66,0.67
2026-01-13 10:21:34,price_change,DOWN,0.58,853.35,0.66,0.67
2026-01-13 10:21:34,price_change,DOWN,0.63,1380.92,0.66,0.67
2026-01-13 10:21:34,price_change,DOWN,0.57,810.35,0.66,0.67
2026-01-13 10:21:35,price_change,DOWN,0.66,1383.59,0.66,0.67
2026-01-13 10:21:35,price_change,DOWN,0.54,696.2,0.66,0.67
2026-01-13 10:21:35,price_change,UP,0.24,1225.1,0.33,0.34
2026-01-13 10:21:35,price_change,DOWN,0.58,853.35,0.66,0.67
2026-01-13 10:21:36,price_change,UP,0.23,1099.3,0.33,0.34
2026-01-13 10:21:36,price_change,DOWN,0.58,853.35,0.66,0.67
2026-01-13 10:21:36,price_change,DOWN,0.56,938.3,0.66,0.67
2026-01-13 10:21:37,price_change,DOWN,0.56,938.3,0.66,0.67
2026-01-13 10:21:37,price_change,DOWN,0.58,823.35,0.66,0.67
2026-01-13 10:21:37,price_change,UP,0.3,584.87,0.32,0.33
2026-01-13 10:21:38,price_change,DOWN,0.56,908.3,0.67,0.68
2026-01-13 10:21:38,price_change,DOWN,0.68,5.5,0.68,0.69
2026-01-13 10:21:38,price_change,DOWN,0.57,810.17,0.68,0.69
2026-01-13 10:21:38,price_change,DOWN,0.68,1193.81,0.68,0.69
2026-01-13 10:21:39,price_change,UP,0.31,477.99,0.31,0.32
2026-01-13 10:21:39,price_change,DOWN,0.65,1787.39,0.68,0.69
2026-01-13 10:21:39,price_change,DOWN,0.65,1849.39,0.68,0.69
2026-01-13 10:21:40,price_change,DOWN,0.68,1238.16,0.68,0.69
2026-01-13 10:21:40,price_change,DOWN,0.68,1191.42,0.68,0.69
2026-01-13 10:21:40,price_change,DOWN,0.59,1736.4,0.68,0.69
2026-01-13 10:21:40,price_change,UP,0.3,605.91,0.31,0.32
2026-01-13 10:21:41,price_change,UP,0.3,590.98,0.3,0.32
2026-01-13 10:21:41,price_change,UP,0.29,1233.92,0.3,0.31
2026-01-13 10:21:41,price_change,UP,0.23,1119.3,0.3,0.31
2026-01-13 10:21:41,price_change,UP,0.3,557.39,0.3,0.31
2026-01-13 10:21:42,price_change,UP,0.3,179.23,0.3,0.31
2026-01-13 10:21:42,price_change,UP,0.3,538.06,0.3,0.31
2026-01-13 10:21:42,price_change,DOWN,0.66,1560.28,0.69,0.7
2026-01-13 10:21:42,price_change,DOWN,0.56,738.3,0.69,0.7
2026-01-13 10:21:43,price_change,DOWN,0.58,757.35,0.69,0.7
2026-01-13 10:21:43,price_change,UP,0.21,1094.8,0.3,0.31
2026-01-13 10:21:43,price_change,DOWN,0.68,1648.97,0.69,0.7
2026-01-13 10:21:43,price_change,UP,0.26,1127.81,0.3,0.31
2026-01-13 10:21:44,price_change,DOWN,0.69,2513.87,0.69,0.7
2026-01-13 10:21:44,price_change,UP,0.27,144.95,0.27,0.29
2026-01-13 10:21:44,price_change,UP,0.27,535.41,0.27,0.28
2026-01-13 10:21:44,price_change,UP,0.26,799.73,0.27,0.28
2026-01-13 10:21:45,price_change,DOWN,0.57,885.17,0.72,0.73
2026-01-13 10:21:45,price_change,DOWN,0.56,708.3,0.72,0.73
2026-01-13 10:21:45,price_change,DOWN,0.7,539.92,0.72,0.73
2026-01-13 10:21:46,price_change,UP,0.27,562.21,0.27,0.28
2026-01-13 10:21:46,price_change,DOWN,0.72,28.85,0.72,0.73
2026-01-13 10:21:47,price_change,DOWN,0.7,628.42,0.71,0.72
2026-01-13 10:21:47,price_change,UP,0.27,491.45,0.28,0.29
2026-01-13 10:21:47,price_change,DOWN,0.69,1636.17,0.71,0.72
2026-01-13 10:21:48,price_change,DOWN,0.71,107.1,0.71,0.72
2026-01-13 10:21:48,price_change,DOWN,0.69,1505.17,0.71,0.72
2026-01-13 10:21:49,price_change,DOWN,0.69,1922.17,0.71,0.72
2026-01-13 10:21:49,price_change,UP,0.21,1185.8,0.28,0.29
2026-01-13 10:21:49,price_change,DOWN,0.71,158.03,0.71,0.72
2026-01-13 10:21:49,price_change,UP,0.22,1330.32,0.28,0.29
2026-01-13 10:21:50,price_change,UP,0.08,2739.61,0.28,0.29
2026-01-13 10:21:50,price_change,UP,0.24,1341.92,0.28,0.29
2026-01-13 10:21:50,price_change,DOWN,0.61,1007.78,0.71,0.72
2026-01-13 10:21:50,price_change,UP,0.27,525.3,0.28,0.29
