timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-13 18:33:56,664,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.45,1327,0.49,0.5
2026-01-13 18:33:56,664,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.41,1417,0.5,0.51
2026-01-13 18:33:56,663,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.45,1327,0.49,0.5
2026-01-13 18:33:56,663,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.33,775.9,0.5,0.51
2026-01-13 18:33:57,662,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.45,1466,0.5,0.51
2026-01-13 18:33:57,662,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.45,1307,0.49,0.5
2026-01-13 18:33:58,661,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.45,1476,0.5,0.51
2026-01-13 18:33:58,661,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.39,1443.82,0.49,0.5
2026-01-13 18:33:59,660,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.41,1412,0.5,0.51
2026-01-13 18:33:59,660,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.45,1327,0.49,0.5
2026-01-13 18:34:00,659,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.3,1534.2,0.49,0.5
2026-01-13 18:34:00,659,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.3,16.2,0.5,0.51
2026-01-13 18:34:01,658,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.45,1682,0.5,0.51
2026-01-13 18:34:01,658,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.45,1337,0.49,0.5
2026-01-13 18:34:02,657,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.49,34.5,0.49,0.5
2026-01-13 18:34:02,657,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.48,1554.74,0.5,0.51
2026-01-13 18:34:03,656,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.53,640.77,0.54,0.55
2026-01-13 18:34:03,656,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.44,1465.04,0.45,0.46
2026-01-13 18:34:04,655,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.45,161.21,0.45,0.46
2026-01-13 18:34:04,655,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,UP,0.38,1031.4,0.54,0.55
2026-01-13 18:34:05,654,"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",price_change,DOWN,0.26,1140.8,0.45,0.46
