bought_timestamp,event,action,status,time_left,side,size,price,full_message
2026-01-16 13:09:00,"Bitcoin Up or Down - January 16, 12:00AM-12:15AM ET",BUY,SUCCESS,360,UP,1.1578947368421053,0.95,"{'errorMsg': '', 'orderID': '0x0dc369a463f15fb2576e0306866873721358259b03e0fa61e699c583cf1ccfcb', 'takingAmount': '1.15', 'makingAmount': '1.0925', 'status': 'matched', 'transactionsHashes': ['0xa9bb61326e7c9cac96d33d8f664bebc16264e7e0ec7b2530b028805f1b26ee45'], 'success': True}"
2026-01-16 13:25:00,"Bitcoin Up or Down - January 16, 12:15AM-12:30AM ET",BUY,SUCCESS,300,DOWN,1.1578947368421053,0.95,"{'errorMsg': '', 'orderID': '0x1489422369cfeeb0a0d77c86a1b39732f1b2587902d91e41208cb05aa610c7e1', 'takingAmount': '1.15', 'makingAmount': '1.0925', 'status': 'matched', 'transactionsHashes': ['0xdcc62dad304943934d02560938ecdef0915aa251aee07fb52afaadeb1bcd2863'], 'success': True}"
2026-01-16 13:38:00,"Bitcoin Up or Down - January 16, 12:30AM-12:45AM ET",BUY,SUCCESS,420,UP,1.170212765957447,0.94,"{'errorMsg': '', 'orderID': '0x0cd41cdde5b1ca166182c271890ec0d17dd8eef50ee6a6aa5277c1c18f4d1f3f', 'takingAmount': '1.17', 'makingAmount': '1.0998', 'status': 'matched', 'transactionsHashes': ['0x3538d2a07516a82aecebc8cd735c1bb9b437e425428202c3568758008d054469'], 'success': True}"
2026-01-16 15:40:00,"Bitcoin Up or Down - January 16, 2:30AM-2:45AM ET",BUY,SUCCESS,300,DOWN,1.1340206185567012,0.97,"{'errorMsg': '', 'orderID': '0xb60c608c5fd8065ef12a31435da1d656aae3b688caeeb1d26db85d14a9f646b9', 'takingAmount': '1.13', 'makingAmount': '1.0961', 'status': 'matched', 'transactionsHashes': ['0x8bf9aa3191e062bc6936675e016d03223dd66602ff6800c32eb86152603942b3'], 'success': True}"
2026-01-16 16:39:00,"Bitcoin Up or Down - January 16, 3:30AM-3:45AM ET",BUY,FAILED,360,DOWN,1.1578947368421053,0.95,"place_order failed: PolyApiException[status_code=400, error_message={'error': 'order 0x971ff0f6bd7777a735bfca52ed53aef9cef700c64753e91e4199569ce405ff4f is invalid. Size (1.15) lower than the minimum: 5'}]"
2026-01-16 16:39:00,"Bitcoin Up or Down - January 16, 3:30AM-3:45AM ET",SELL,FAILED,360,DOWN,1.1578947368421053,0.95,"place_order failed: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]"
2026-01-16 16:40:00,"Bitcoin Up or Down - January 16, 3:30AM-3:45AM ET",BUY,SUCCESS,300,DOWN,1.1340206185567012,0.97,"{'errorMsg': '', 'orderID': '0x3e3b76d541a2a0f0b098312a8788665112150083f1b820cdd9b9050d84c0bf0c', 'takingAmount': '1.13', 'makingAmount': '1.0961', 'status': 'matched', 'transactionsHashes': ['0x234b9faa5dc69b9eee86621e00bc23460990924fdee33533c1e97226784b2002'], 'success': True}"
2026-01-16 16:40:00,"Bitcoin Up or Down - January 16, 3:30AM-3:45AM ET",SELL,FAILED,300,DOWN,1.1340206185567012,0.97,"place_order failed: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]"
2026-01-16 17:09:00,"Bitcoin Up or Down - January 16, 4:00AM-4:15AM ET",BUY,SUCCESS,360,UP,1.2222222222222223,0.9,"{'errorMsg': '', 'orderID': '0xfa661b2aafd78471068ea909b125e9396ae63b24bf8b4f379816ca0b21a48fc3', 'takingAmount': '1.22', 'makingAmount': '1.098', 'status': 'matched', 'transactionsHashes': ['0xcc7822cd1e3bd22e2b8e11536a7b4dcc6e2f1a4bb5b7f39cef8ca727c3061317'], 'success': True}"
2026-01-16 17:09:00,"Bitcoin Up or Down - January 16, 4:00AM-4:15AM ET",SELL,FAILED,360,UP,1.2222222222222223,0.9,"place_order failed: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]"
